code,name_en,name_km,kind,parent_id,latitude,longitude
01030103,Thmei Khang Cheung,ថ្មីខាងជើង,village,010301,13.81542861,103.390262
01030104,Kouk Yeang,គោកយាង,village,010301,13.82152597,103.3882777
01030105,Kouk Chas,គោកចាស់,village,010301,13.82564982,103.4010235
01030106,Chrab,ច្រាប,village,010301,13.83286265,103.3981992
01030107,Kantuot,កន្ទួត,village,010301,13.84100348,103.3990686
01030108,Nam Tau,ណាំតៅ,village,010301,13.84733053,103.3990253
01030109,Pongro,ពង្រ,village,010301,13.85351353,103.3976878
01030110,Samraong,សំរោង,village,010301,13.8817438,103.4089668
01030111,Khnang,ក្នាំង,village,010301,13.89536789,103.4190519
01030112,Thnong Khang Tboung,ធ្នង់ខាងត្បូង,village,010301,13.90454886,103.4242177
01030113,Thnong Khang Cheung,ធ្នង់ខាងជើង,village,010301,13.91443873,103.4328029
01030114,Slaeng,ស្លែង,village,010301,13.80296245,103.3873046
01030115,Takong,តាគង់,village,010301,13.85344049,103.370185
01030116,Yeang Otdam,យាងឧត្ដម,village,010301,13.84250517,103.3555714
01030117,Ampil Kaong,អំពិលកោង,village,010301,13.85669613,103.3663601
01030118,Kong Siem,កុងសៀម,village,010301,13.85301014,103.3625837
010302,Poy Char,ប៉ោយចារ,commune,0103,13.8504932,103.2894368
01030201,Paoy Snuol,ប៉ោយស្នួល,village,010302,13.76600075,103.3155762
01030202,Paoy Char,ប៉ោយចារ,village,010302,13.76707839,103.3105935
01030203,Trapeang Thma Tboung,ត្រពាំងថ្មត្បូង,village,010302,13.77523353,103.3135496
01030204,Trapeang Thma Cheung,ត្រពាំងថ្មជើង,village,010302,13.78573077,103.3153424
01030205,Trapeang Thma Kandal,ត្រពាំងថ្មកណ្ដាល,village,010302,13.77988915,103.3136457
01030206,Paoy Ta Ong,ប៉ោយតាអុង,village,010302,13.79192646,103.3172679
01030207,Sambuor,សំបួរ,village,010302,13.81159887,103.3271251
01030208,Pongro,ពង្រ,village,010302,13.82064981,103.3289104
010303,Ponley,ពន្លៃ,commune,0103,13.7811451,103.3125299
01030301,Ta Vong,តាវង,village,010303,13.77112471,103.2266176
01030302,Ponley,ពន្លៃ,village,010303,13.81241529,103.1874614
01030303,Svay Sa,ស្វាយស,village,010303,13.7527461,103.1851477
01030304,Svay Khmau,ស្វាយខ្មៅ,village,010303,13.78006896,103.2136037
01030305,Kouk Ta Sokh,គោគតាសុខ,village,010303,13.76123615,103.2340895
01030306,Pou Roam Bon,ពោធិ៍រាំបុណ្យ,village,010303,13.73509864,103.2444557
010304,Spean Sraeng,ស្ពានស្រែង,commune,0103,13.7014178,103.4101027
01030401,Rouk,រោគ,village,010304,13.70096316,103.4092665
01030402,Mukh Chhneang,មុខឈ្នាង,village,010304,13.72656952,103.4174525
01030403,Spean,ស្ពាន,village,010304,13.68393092,103.4315677
01030404,Kouk Char,គោកចារ,village,010304,13.67935866,103.4232781
01030405,Kandal,កណ្ដាល,village,010304,13.6740385,103.4125719
01030406,Pongro,ពង្រ,village,010304,13.66787496,103.4071223
010305,Srah Chik,ស្រះជីក,commune,0103,13.7238095,103.324078
01030501,Moat Srah,មាត់ស្រះ,village,010305,13.74567504,103.335916
01030502,Srah Chhuk Khang Lech,ស្រះឈូកខាងលិច,village,010305,13.74562917,103.3277979
01030503,Srah Chik,ស្រះជីក,village,010305,13.73967544,103.3349043
01030504,Kouk Kral,គោកក្រោល,village,010305,13.71395927,103.3241208
01030505,Kouk Rumchek,គោករំចេក,village,010305,13.68132047,103.3095617
01030506,Kouk Ta Reach,គោកតារាជ្យ,village,010305,13.72125253,103.3333146
01030507,Kandal Khang Lech,កណ្ដាលខាងលិច,village,010305,13.73936981,103.3391783
01030508,Kandal Khang Kaeut,កណ្ដាលខាងកើត,village,010305,13.7393979,103.3433574
01030509,Srah Chhuk Khang Kaeut,ស្រះឈូកខាងកើត,village,010305,13.74662868,103.3433066
010306,Phnum Dei,ភ្នំដី,commune,0103,13.7893185,103.3702811
01030601,Phnum Dei,ភ្នំដី,village,010306,13.73788882,103.3623785
